B01002_001E,B01003_001E,B17001_002E,B19013_001E,B19301_001E,NAME,zip code tabulation area
45.9,2546,789,25915,14780,ZCTA5 31044,31044
64.1,77,63,10833,9431,ZCTA5 31045,31045
46.6,3230,294,58156,25703,ZCTA5 31046,31046
39.3,10869,697,81379,32816,ZCTA5 31047,31047
48.4,1721,253,44028,21688,ZCTA5 31049,31049
49.6,1146,106,54239,20374,ZCTA5 31050,31050
41.8,202,95,21944,12930,ZCTA5 31051,31051
46.2,8373,663,65333,27933,ZCTA5 31052,31052
38.6,1770,577,30972,14033,ZCTA5 31054,31054
40.9,10033,2284,29295,13006,ZCTA5 31055,31055
44.9,2078,454,32869,17081,ZCTA5 31057,31057
51.2,1401,364,32304,18168,ZCTA5 31058,31058
43.8,1884,432,31066,19716,ZCTA5 31060,31060
34.5,43970,11965,33558,18471,ZCTA5 31061,31061
68.3,278,59,,12455,ZCTA5 31062,31062
37.6,5609,1997,25796,13204,ZCTA5 31063,31063
37.1,9252,2154,41309,21217,ZCTA5 31064,31064
50.3,852,85,31214,20865,ZCTA5 31065,31065
43.1,1042,250,31250,27383,ZCTA5 31066,31066
50.7,258,0,45139,18363,ZCTA5 31067,31067
36.7,5254,1213,34758,12311,ZCTA5 31068,31068
37.5,20853,2731,51739,25197,ZCTA5 31069,31069
43.8,1171,211,43385,18746,ZCTA5 31070,31070
39.4,1316,372,33750,16613,ZCTA5 31071,31071
38.3,1494,360,39875,18870,ZCTA5 31072,31072
31.8,2561,636,42375,19386,ZCTA5 31075,31075
41,3196,632,29054,19231,ZCTA5 31076,31076
45,1043,216,34850,17928,ZCTA5 31077,31077
40,3310,1203,30417,16493,ZCTA5 31078,31078
42.9,2141,477,35709,18802,ZCTA5 31079,31079
23,265,31,25788,10715,ZCTA5 31081,31081
37.2,10146,2759,29351,18780,ZCTA5 31082,31082
34.1,247,39,36875,13206,ZCTA5 31083,31083
24.9,88,79,2499,1103,ZCTA5 31084,31084
35.3,1153,181,49643,18589,ZCTA5 31085,31085
42.5,9271,2390,24586,12341,ZCTA5 31087,31087
34,49883,5721,58276,26993,ZCTA5 31088,31088
36.7,4746,1295,33477,15746,ZCTA5 31089,31089
52.3,610,188,31000,17791,ZCTA5 31090,31090
41.3,5354,787,31010,9420,ZCTA5 31091,31091
40.1,6612,1969,28540,18585,ZCTA5 31092,31092
32.2,29558,9112,32445,16791,ZCTA5 31093,31093
51.7,976,8,38561,24824,ZCTA5 31094,31094
39.9,7310,1527,35811,15253,ZCTA5 31096,31096
46.9,1215,132,39911,23623,ZCTA5 31097,31097
21.9,3278,448,56004,18660,ZCTA5 31098,31098
33.2,9049,3491,18642,14154,ZCTA5 31201,31201
38.5,29913,8450,27439,19157,ZCTA5 31204,31204
28.6,30595,13103,23681,10736,ZCTA5 31206,31206
19.5,1277,0,,349,ZCTA5 31207,31207
37.4,32074,2699,62328,33661,ZCTA5 31210,31210
38.6,16078,3980,37363,21191,ZCTA5 31211,31211
,0,0,,,ZCTA5 31213,31213
39.1,16655,1300,59659,24885,ZCTA5 31216,31216
36.9,18762,6104,30756,15987,ZCTA5 31217,31217
36.2,13695,1221,57700,27056,ZCTA5 31220,31220
26.2,5414,1343,38445,16326,ZCTA5 31301,31301
35.6,8777,749,64643,23342,ZCTA5 31302,31302
43.5,2136,414,45781,19927,ZCTA5 31303,31303
,0,0,,,ZCTA5 31304,31304
39.5,7195,1585,35244,20790,ZCTA5 31305,31305
41.9,651,41,37328,22847,ZCTA5 31307,31307
35.2,7035,1192,47315,19239,ZCTA5 31308,31308
41.9,953,235,44511,19491,ZCTA5 31309,31309
38.8,15309,1877,63204,25780,ZCTA5 31312,31312
27.7,41339,7137,45852,21770,ZCTA5 31313,31313
21.8,1549,0,,23296,ZCTA5 31314,31314
20.6,8376,1931,35628,12149,ZCTA5 31315,31315
34.1,10179,1846,45972,17821,ZCTA5 31316,31316
48.5,372,0,110473,45314,ZCTA5 31318,31318
40.9,9153,1513,49864,25273,ZCTA5 31320,31320
33.4,6082,1152,46143,19207,ZCTA5 31321,31321
32.6,22431,2430,64533,28515,ZCTA5 31322,31322
51.3,1573,233,43869,21504,ZCTA5 31323,31323
36.1,21428,1584,80288,31613,ZCTA5 31324,31324
33.6,20171,1979,67723,26527,ZCTA5 31326,31326
60.4,121,0,,62697,ZCTA5 31327,31327
53.8,3329,393,53471,33690,ZCTA5 31328,31328
34.6,9406,1205,51359,20016,ZCTA5 31329,31329
46.6,6627,486,39650,21250,ZCTA5 31331,31331
27.7,20177,7809,23090,20075,ZCTA5 31401,31401
31.9,31634,7850,31263,16634,ZCTA5 31404,31404
34.6,37016,6797,43051,23719,ZCTA5 31405,31405
36.2,34607,6582,44547,24496,ZCTA5 31406,31406
31.5,8686,1199,62760,26646,ZCTA5 31407,31407
33.9,10170,2121,30029,14097,ZCTA5 31408,31408
22.6,389,0,,25542,ZCTA5 31409,31409
41.8,23603,1340,68834,38085,ZCTA5 31410,31410
63.6,8034,169,106979,64753,ZCTA5 31411,31411
33.7,12172,4560,24125,12939,ZCTA5 31415,31415
30.7,54730,8321,48750,24517,ZCTA5 31419,31419
39.8,14868,3613,30829,17971,ZCTA5 31501,31501
36.1,21445,4629,37236,19831,ZCTA5 31503,31503
36.5,10143,1920,34300,18798,ZCTA5 31510,31510
30,2787,404,49868,21746,ZCTA5 31512,31512
37.8,16456,3684,36533,19698,ZCTA5 31513,31513
38.3,14585,2983,38125,20014,ZCTA5 31516,31516
50.1,519,42,37457,21929,ZCTA5 31518,31518
40.5,3144,561,33367,18930,ZCTA5 31519,31519
36.7,21289,6973,29522,17441,ZCTA5 31520,31520
53.2,14846,786,66580,48045,ZCTA5 31522,31522
36.1,14026,2160,57021,24540,ZCTA5 31523,31523
,0,0,,,ZCTA5 31524,31524
36.4,28726,4707,46082,23223,ZCTA5 31525,31525
65.7,693,40,70964,49193,ZCTA5 31527,31527
32.9,1005,223,36719,19457,ZCTA5 31532,31532
36.8,16206,4384,32222,17764,ZCTA5 31533,31533
32.3,12349,2908,41069,18183,ZCTA5 31535,31535
39.6,10913,1944,42162,16800,ZCTA5 31537,31537
36.1,14181,3520,36101,17490,ZCTA5 31539,31539
33.6,2678,864,27600,15354,ZCTA5 31542,31542
38.3,3971,978,41661,17236,ZCTA5 31543,31543
56.9,490,167,19952,13896,ZCTA5 31544,31544
35.3,16010,3618,33456,16886,ZCTA5 31545,31545
40.5,8218,1448,38831,16860,ZCTA5 31546,31546
22,952,116,45238,24428,ZCTA5 31547,31547
31.3,20880,3282,55238,21351,ZCTA5 31548,31548
34,1615,555,19097,13438,ZCTA5 31549,31549
41.6,612,96,37468,23606,ZCTA5 31550,31550
30.3,1089,315,36750,14123,ZCTA5 31551,31551
39.8,1031,160,41429,16826,ZCTA5 31552,31552
40.2,5213,1130,31321,16203,ZCTA5 31553,31553
34.9,7906,1028,33521,11330,ZCTA5 31554,31554
37.3,2894,733,40000,18381,ZCTA5 31555,31555
29,116,38,21875,8625,ZCTA5 31556,31556
45.3,2847,504,35385,21639,ZCTA5 31557,31557
29.5,20964,3029,50879,23239,ZCTA5 31558,31558
41.4,2693,536,36505,20019,ZCTA5 31560,31560
36.7,560,454,19444,22095,ZCTA5 31561,31561
35.9,2229,368,35027,18556,ZCTA5 31562,31562
38.8,1479,271,42024,18177,ZCTA5 31563,31563
50.4,1462,251,40208,23777,ZCTA5 31565,31565
39.3,4503,666,41675,15954,ZCTA5 31566,31566
39.4,1119,202,41133,18807,ZCTA5 31567,31567
38.9,1009,83,29118,21204,ZCTA5 31568,31568
42.4,5425,860,52121,25632,ZCTA5 31569,31569
29.2,33968,13065,24582,12881,ZCTA5 31601,31601
29.6,34255,7466,36181,21530,ZCTA5 31602,31602
28.2,21588,3071,53807,22925,ZCTA5 31605,31605
37.6,4054,374,48861,20729,ZCTA5 31606,31606
36.6,10693,2233,36863,19827,ZCTA5 31620,31620
36,1874,279,32361,18535,ZCTA5 31622,31622
43,105,45,35250,7577,ZCTA5 31623,31623
36.1,955,177,38194,17139,ZCTA5 31624,31624
41.5,1574,516,30448,14524,ZCTA5 31625,31625
47.1,3555,590,43231,19204,ZCTA5 31626,31626
36.7,207,37,24196,13597,ZCTA5 31627,31627
53.6,819,200,33679,15390,ZCTA5 31629,31629
24.5,487,67,34628,15650,ZCTA5 31630,31630
41.4,701,122,41625,16650,ZCTA5 31631,31631
33.1,10778,1197,51578,22049,ZCTA5 31632,31632
36.9,5740,1723,23547,17991,ZCTA5 31634,31634
35.6,5949,1433,31151,16706,ZCTA5 31635,31635
36.1,9616,1618,44975,20655,ZCTA5 31636,31636
41.5,3009,854,30116,16801,ZCTA5 31637,31637
32.6,1007,381,24472,15801,ZCTA5 31638,31638
40.5,10441,2186,30607,17518,ZCTA5 31639,31639
34.1,1753,257,47043,17561,ZCTA5 31641,31641
34.4,4894,1627,27674,15836,ZCTA5 31642,31642
40,8696,1979,36411,18963,ZCTA5 31643,31643
30.2,6039,1798,39846,15849,ZCTA5 31645,31645
31.6,3257,912,33844,16289,ZCTA5 31647,31647
27.6,1139,650,24183,11425,ZCTA5 31648,31648
36.9,1373,269,46417,24777,ZCTA5 31649,31649
35.6,3157,1063,25139,15259,ZCTA5 31650,31650
18.7,1396,0,,2698,ZCTA5 31698,31698
21.1,324,0,,21915,ZCTA5 31699,31699
33,21467,9173,20872,13734,ZCTA5 31701,31701
29.4,34946,12400,27112,13904,ZCTA5 31705,31705
35.2,25386,5667,34654,22291,ZCTA5 31707,31707
32.8,15712,5050,37056,20302,ZCTA5 31709,31709
43.9,810,262,33021,14104,ZCTA5 31711,31711
46.7,1002,189,45179,19243,ZCTA5 31712,31712
40.1,6276,1630,25725,17005,ZCTA5 31714,31714
37.8,2817,735,35450,17244,ZCTA5 31716,31716
33.2,10626,3049,29667,14962,ZCTA5 31719,31719
40.2,494,226,23092,12071,ZCTA5 31720,31720
40,19775,2116,61026,29216,ZCTA5 31721,31721
35.3,530,124,25000,11713,ZCTA5 31722,31722
36.2,9526,2358,33350,17721,ZCTA5 31730,31730
46.8,2079,240,63125,25549,ZCTA5 31733,31733
40.7,821,274,44375,24177,ZCTA5 31735,31735
38,1835,344,41319,21588,ZCTA5 31738,31738
40.3,419,37,29375,14236,ZCTA5 31743,31743
35.9,2747,619,38900,18043,ZCTA5 31744,31744
51.4,147,62,20500,15248,ZCTA5 31747,31747
35.1,2903,823,40811,13689,ZCTA5 31749,31749
37,19001,6912,29934,14764,ZCTA5 31750,31750
46.3,1303,291,32813,15214,ZCTA5 31756,31756
38.9,10392,1991,42131,19867,ZCTA5 31757,31757
36.1,23881,2663,58235,26245,ZCTA5 31763,31763
43.9,1395,284,34138,16906,ZCTA5 31764,31764
42,2806,947,24056,14313,ZCTA5 31765,31765
36.4,23784,7238,30511,16710,ZCTA5 31768,31768
32.9,6207,1280,33524,17690,ZCTA5 31771,31771
44.6,541,150,41912,18321,ZCTA5 31772,31772
46.3,3406,828,37872,18282,ZCTA5 31773,31773
36.2,6101,1133,31752,16833,ZCTA5 31774,31774
32.4,2835,1267,18375,12815,ZCTA5 31775,31775
48.6,2317,403,37254,24751,ZCTA5 31778,31778
37.1,9940,2381,26995,12856,ZCTA5 31779,31779
44.7,2204,547,29274,16606,ZCTA5 31780,31780
41.9,1921,492,37981,18281,ZCTA5 31781,31781
41.5,986,157,38750,19507,ZCTA5 31783,31783
35,764,181,36136,19310,ZCTA5 31784,31784
39.1,1192,412,29535,19891,ZCTA5 31787,31787
31.9,10317,2249,37906,17353,ZCTA5 31788,31788
41.5,1736,219,29358,15776,ZCTA5 31789,31789
40.5,1974,137,40759,18504,ZCTA5 31790,31790
39.4,11637,2243,35594,18658,ZCTA5 31791,31791
37.5,23915,6836,31591,21275,ZCTA5 31792,31792
29.4,9098,1286,47607,19015,ZCTA5 31793,31793
36.6,26239,8071,31069,19187,ZCTA5 31794,31794
28.3,2431,470,46046,17507,ZCTA5 31795,31795
54.2,1185,180,28717,20665,ZCTA5 31796,31796
43.4,869,195,51211,21396,ZCTA5 31798,31798
46.3,2360,632,34811,15548,ZCTA5 31801,31801
39.4,6686,1197,31815,18233,ZCTA5 31803,31803
41.1,6005,171,88151,32610,ZCTA5 31804,31804
34.1,3353,763,34271,17550,ZCTA5 31805,31805
40.6,4802,1097,38600,19141,ZCTA5 31806,31806
39,2489,67,75563,33230,ZCTA5 31807,31807
41.4,6752,373,81325,33385,ZCTA5 31808,31808
46.7,217,40,26875,19889,ZCTA5 31810,31810
39.5,5018,541,52283,27425,ZCTA5 31811,31811
47.9,399,172,17560,18349,ZCTA5 31812,31812
23.9,254,7,43618,16645,ZCTA5 31814,31814
36.9,2817,435,30721,13981,ZCTA5 31815,31815
36.7,5632,1513,32878,16342,ZCTA5 31816,31816
42.6,8546,104,101193,43390,ZCTA5 31820,31820
31.8,442,110,21756,11214,ZCTA5 31821,31821
41.9,5638,895,44472,27336,ZCTA5 31822,31822
45.1,721,134,37396,23426,ZCTA5 31823,31823
37.6,1858,351,36037,17955,ZCTA5 31824,31824
46,2857,1056,20303,14550,ZCTA5 31825,31825
38.6,3065,474,37885,17145,ZCTA5 31826,31826
44.7,2690,668,25000,14783,ZCTA5 31827,31827
40.6,1101,110,99508,31971,ZCTA5 31829,31829
43.7,2115,457,35301,17040,ZCTA5 31830,31830
44.7,3349,519,51633,28419,ZCTA5 31831,31831
61.2,127,2,58438,29787,ZCTA5 31832,31832
41.4,7777,1912,34167,21383,ZCTA5 31833,31833
47.6,881,182,20375,21139,ZCTA5 31836,31836
34,8048,3526,14504,13814,ZCTA5 31901,31901
29.8,22594,9152,22063,11725,ZCTA5 31903,31903
38.6,32416,6166,42392,30871,ZCTA5 31904,31904
21.3,20069,856,52260,17723,ZCTA5 31905,31905
37,20567,4703,33974,24178,ZCTA5 31906,31906
35.1,56859,8715,40972,19314,ZCTA5 31907,31907
34.2,34763,2971,58447,28503,ZCTA5 31909,31909
41.2,28738,1248,89419,34453,ZCTA5 32003,32003
48.4,5470,1436,28537,19377,ZCTA5 32008,32008
38.1,3138,281,56750,21640,ZCTA5 32009,32009
40.8,14541,1585,52509,22575,ZCTA5 32011,32011
37.4,20526,3291,39300,19451,ZCTA5 32024,32024
35.2,23341,3745,39916,17493,ZCTA5 32025,32025
32.5,889,5,,495,ZCTA5 32026,32026
44,4679,910,49257,26529,ZCTA5 32033,32033
49.4,31477,4622,62932,37240,ZCTA5 32034,32034
47.6,8197,1521,40729,22363,ZCTA5 32038,32038
39.7,6981,792,60881,25323,ZCTA5 32040,32040
39.5,25160,2774,56283,26782,ZCTA5 32043,32043
38.5,2112,294,42813,17791,ZCTA5 32044,32044
38.2,9129,1464,45918,20829,ZCTA5 32046,32046
36.5,8806,1165,42784,13333,ZCTA5 32052,32052
44.7,3970,1010,36766,22348,ZCTA5 32053,32053
38.7,11668,1729,41450,15345,ZCTA5 32054,32054
40.5,16543,4121,34974,19845,ZCTA5 32055,32055
38.3,4732,628,42500,15610,ZCTA5 32058,32058
36.4,2197,599,39219,17589,ZCTA5 32059,32059
42.7,22853,4431,41129,20041,ZCTA5 32060,32060
47.6,165,0,63359,16140,ZCTA5 32061,32061
43.2,2117,226,34063,16553,ZCTA5 32062,32062
35.9,14185,2238,47823,20041,ZCTA5 32063,32063
34.4,6841,2454,24090,14169,ZCTA5 32064,32064
32,35947,3572,63850,24407,ZCTA5 32065,32065
33.5,7119,1270,41509,18820,ZCTA5 32066,32066
38.2,48490,5907,56573,23868,ZCTA5 32068,32068
48.7,2602,783,25815,16418,ZCTA5 32071,32071
58.4,194,0,65818,23131,ZCTA5 32072,32072
39.4,39458,3498,52800,27245,ZCTA5 32073,32073
81.2,293,44,33056,25435,ZCTA5 32079,32079
53.2,21450,2058,58648,38612,ZCTA5 32080,32080
36.2,4670,352,85354,35401,ZCTA5 32081,32081
49.6,29538,1704,87878,62837,ZCTA5 32082,32082
41.3,4713,224,47400,7721,ZCTA5 32083,32083
40.7,30993,6061,37670,21126,ZCTA5 32084,32084
47.7,25200,3290,47670,26398,ZCTA5 32086,32086
32.8,5561,1197,35509,12578,ZCTA5 32087,32087
40.7,14968,2972,38443,18703,ZCTA5 32091,32091
35.7,29960,1385,87640,35826,ZCTA5 32092,32092
53.3,2178,542,33911,19108,ZCTA5 32094,32094
39.6,6625,593,63651,30981,ZCTA5 32095,32095
48.4,2587,647,30962,17390,ZCTA5 32096,32096
38.9,15765,1242,54851,24402,ZCTA5 32097,32097
60.6,2040,444,30120,19650,ZCTA5 32102,32102
40.3,7538,1930,33967,18635,ZCTA5 32110,32110
39.2,8421,3272,28214,13444,ZCTA5 32112,32112
48.5,5419,1499,34750,20136,ZCTA5 32113,32113
32.4,32630,11168,25150,14521,ZCTA5 32114,32114
40.9,25306,7394,27106,15921,ZCTA5 32117,32117
55.8,15841,2561,33942,27860,ZCTA5 32118,32118
45.5,20630,4250,35727,21976,ZCTA5 32119,32119
36.8,5119,603,43698,20324,ZCTA5 32124,32124
50.2,29978,3695,43857,27654,ZCTA5 32127,32127
51.9,16858,1021,63161,38189,ZCTA5 32128,32128
48.1,20300,2355,40497,23404,ZCTA5 32129,32129
41.2,5779,1149,44677,19763,ZCTA5 32130,32130
41.7,4407,618,41619,27095,ZCTA5 32131,32131
50,6671,715,45213,24819,ZCTA5 32132,32132
,77,0,,,ZCTA5 32133,32133
50.3,7914,1415,33539,16721,ZCTA5 32134,32134
56.4,7496,202,48767,32663,ZCTA5 32136,32136
53.7,36076,5531,51153,28756,ZCTA5 32137,32137
57.1,1132,309,22768,17061,ZCTA5 32139,32139
48.5,1023,182,45321,23896,ZCTA5 32140,32140
49.4,18026,2154,44518,24802,ZCTA5 32141,32141
43.6,4904,832,41750,18564,ZCTA5 32145,32145
4.8,69,61,,,ZCTA5 32147,32147
46.3,10630,2676,31064,17123,ZCTA5 32148,32148
41.8,450,0,57708,14379,ZCTA5 32157,32157
68.1,29313,3105,41070,26285,ZCTA5 32159,32159
68.6,49812,2479,56133,37243,ZCTA5 32162,32162
43,44960,8307,46405,20520,ZCTA5 32164,32164
49.4,24369,3609,46200,28604,ZCTA5 32168,32168
59.1,9914,1064,55101,37840,ZCTA5 32169,32169
51.3,46686,5733,48544,30010,ZCTA5 32174,32174
55.9,13991,1772,43166,36179,ZCTA5 32176,32176
38.4,26650,8047,32357,18458,ZCTA5 32177,32177
50,6871,1568,34358,19115,ZCTA5 32179,32179
39.2,4104,1221,34464,20154,ZCTA5 32180,32180
50.2,2186,555,27585,16196,ZCTA5 32181,32181
46.5,1996,317,30300,18933,ZCTA5 32187,32187
53,6043,1425,33739,18639,ZCTA5 32189,32189
43.5,550,86,39507,22498,ZCTA5 32190,32190
57.4,1191,265,32011,17436,ZCTA5 32193,32193
52.6,3060,413,52368,25613,ZCTA5 32195,32195
37.7,6271,1770,15000,11099,ZCTA5 32202,32202
38.4,6340,1846,34101,28349,ZCTA5 32204,32204
36.6,29730,6873,41444,25374,ZCTA5 32205,32205
36.7,17197,6595,24419,15061,ZCTA5 32206,32206
39,32511,6755,39263,31694,ZCTA5 32207,32207
41.2,29677,7620,32925,17661,ZCTA5 32208,32208
34.6,35279,14092,21273,12550,ZCTA5 32209,32209
36.3,58455,12225,42365,22876,ZCTA5 32210,32210
34.2,30944,5918,39061,20384,ZCTA5 32211,32211
23.1,1856,127,61250,20548,ZCTA5 32212,32212
35.8,34407,5944,48276,25759,ZCTA5 32216,32216
38.2,19662,3131,46157,30246,ZCTA5 32217,32217
33.6,56025,9202,46863,21815,ZCTA5 32218,32218
42.9,11033,1888,43469,20242,ZCTA5 32219,32219
35.2,14620,1605,53255,21493,ZCTA5 32220,32220
37,28687,4332,58990,24903,ZCTA5 32221,32221
36.3,9902,604,62106,23415,ZCTA5 32222,32222
44.3,24533,1112,77031,40881,ZCTA5 32223,32223
33.2,35939,3449,60704,33142,ZCTA5 32224,32224
36.9,53130,3849,61723,30353,ZCTA5 32225,32225
37.3,16439,1395,70284,28327,ZCTA5 32226,32226
23.4,2800,206,36616,19883,ZCTA5 32227,32227
23,187,0,,21267,ZCTA5 32228,32228
36.8,23240,2957,50338,33172,ZCTA5 32233,32233
38.9,5929,740,50159,20239,ZCTA5 32234,32234
31.9,61482,11224,48290,20777,ZCTA5 32244,32244
32.9,49747,8005,51371,24538,ZCTA5 32246,32246
42.3,25894,3234,56466,37237,ZCTA5 32250,32250
33.5,13133,4671,26457,13429,ZCTA5 32254,32254
32.7,40024,3937,54160,35244,ZCTA5 32256,32256
39.9,36113,3384,54113,32582,ZCTA5 32257,32257
34.9,27455,1402,83023,35550,ZCTA5 32258,32258
38.7,39063,1563,96166,40881,ZCTA5 32259,32259
41.5,6702,461,67045,50582,ZCTA5 32266,32266
34.9,28884,4159,44283,21981,ZCTA5 32277,32277
27,28465,8355,39083,21156,ZCTA5 32301,32301
28,46671,11123,44722,23970,ZCTA5 32303,32303
21.6,47417,24193,16521,10072,ZCTA5 32304,32304
32.7,20448,4921,35515,17402,ZCTA5 32305,32305
39.9,22326,3071,53483,32932,ZCTA5 32308,32308
42.3,31679,1994,83765,38938,ZCTA5 32309,32309
30,16980,4782,31383,16121,ZCTA5 32310,32310
37.6,19400,1347,61061,32241,ZCTA5 32311,32311
42.5,31913,1427,92809,43646,ZCTA5 32312,32312
40.4,13325,340,87761,36290,ZCTA5 32317,32317
39.1,3428,582,31806,17336,ZCTA5 32320,32320
36.7,6577,1376,39776,15203,ZCTA5 32321,32321
38.8,4352,738,36014,13920,ZCTA5 32322,32322
51.7,190,75,22237,25250,ZCTA5 32323,32323
46.4,4843,1659,34744,14869,ZCTA5 32324,32324
39.1,27457,3308,53396,21581,ZCTA5 32327,32327
49.4,3245,577,46875,26828,ZCTA5 32328,32328
33.2,863,330,22150,14308,ZCTA5 32330,32330
44.6,4947,673,37571,16602,ZCTA5 32331,32331
34.2,1656,626,24342,10957,ZCTA5 32332,32332
49.2,10284,1849,46440,24809,ZCTA5 32333,32333
41.5,1731,245,39063,20304,ZCTA5 32334,32334
42.5,1548,291,37823,17287,ZCTA5 32336,32336
40.6,11205,2353,31940,15113,ZCTA5 32340,32340
33.9,3107,471,47933,19778,ZCTA5 32343,32343
45.2,12785,1866,44784,21337,ZCTA5 32344,32344
53.4,1435,247,35000,25106,ZCTA5 32346,32346
41.1,8101,1394,39441,19638,ZCTA5 32347,32347
38,12252,1650,34017,14518,ZCTA5 32348,32348
42.6,1832,276,34601,15333,ZCTA5 32350,32350
35.8,19337,5364,30576,15050,ZCTA5 32351,32351
36.6,6770,1515,39896,17038,ZCTA5 32352,32352
52.8,246,11,58750,28348,ZCTA5 32355,32355
59.5,78,0,68684,34372,ZCTA5 32356,32356
38,2025,351,45806,26517,ZCTA5 32358,32358
62.3,1565,110,33359,21434,ZCTA5 32359,32359
51.2,85,0,22330,43191,ZCTA5 32361,32361
,0,0,,,ZCTA5 32399,32399
40.2,23577,4969,35186,19746,ZCTA5 32401,32401
21.1,3425,294,45000,16819,ZCTA5 32403,32403
40,36940,4943,50665,22001,ZCTA5 32404,32404
37,30995,5077,43976,24299,ZCTA5 32405,32405
37.7,9164,1161,51328,26615,ZCTA5 32407,32407
43.2,16244,1568,49092,30987,ZCTA5 32408,32408
41.4,8635,1174,50461,24300,ZCTA5 32409,32409
50.7,1065,207,51357,32442,ZCTA5 32410,32410
45,12419,1194,52236,31362,ZCTA5 32413,32413
46.1,2033,381,36583,20706,ZCTA5 32420,32420
38.4,4776,1196,32223,14096,ZCTA5 32421,32421
43.4,1083,173,44375,20806,ZCTA5 32423,32423
40.5,7892,1557,29770,12633,ZCTA5 32424,32424
40.7,14083,2796,38923,16596,ZCTA5 32425,32425
51.1,752,197,24776,16721,ZCTA5 32426,32426
40.9,1333,356,36985,16317,ZCTA5 32427,32427
40.8,17119,2793,38016,17381,ZCTA5 32428,32428
48.3,879,115,38561,20779,ZCTA5 32430,32430
40.6,4086,1077,30625,15707,ZCTA5 32431,32431
,53,0,,,ZCTA5 32432,32432
37.8,16321,3945,35378,17526,ZCTA5 32433,32433
46.6,7515,1860,28740,19838,ZCTA5 32435,32435
33.7,838,247,39324,13738,ZCTA5 32437,32437
36.6,4068,819,40234,17988,ZCTA5 32438,32438
40.5,7853,1075,46206,23630,ZCTA5 32439,32439
36.3,7961,1366,30855,13662,ZCTA5 32440,32440
41.3,4132,614,40515,17693,ZCTA5 32442,32442
46,2760,422,42407,21007,ZCTA5 32443,32443
40.2,19205,2069,61233,28643,ZCTA5 32444,32444
37,2995,250,32121,10692,ZCTA5 32445,32445
40.4,11041,1028,47861,23652,ZCTA5 32446,32446
17.4,293,10,,439,ZCTA5 32447,32447
43.8,8530,2503,25676,16384,ZCTA5 32448,32448
38.1,722,60,45556,17638,ZCTA5 32449,32449
40.1,4361,1388,27052,14271,ZCTA5 32455,32455
48.5,7404,1128,41521,23790,ZCTA5 32456,32456
42.8,12372,925,58800,34106,ZCTA5 32459,32459
39.4,5805,661,33241,15368,ZCTA5 32460,32460
,28,0,,,ZCTA5 32461,32461
36.4,3800,940,40560,17983,ZCTA5 32462,32462
49.3,101,12,30313,20634,ZCTA5 32463,32463
44.3,3877,799,38008,17999,ZCTA5 32464,32464
40.2,8723,1130,39556,15346,ZCTA5 32465,32465
39.5,6089,1152,45789,19663,ZCTA5 32466,32466
37.6,11768,2888,27677,18407,ZCTA5 32501,32501
45.1,2962,602,34981,25715,ZCTA5 32502,32502
34.1,34382,6064,44579,23922,ZCTA5 32503,32503
41.3,21859,2604,44837,26934,ZCTA5 32504,32504
36.2,25408,8107,31133,16346,ZCTA5 32505,32505
35.1,35694,7753,42776,20157,ZCTA5 32506,32506
38.8,27787,5276,42148,25171,ZCTA5 32507,32507
20.5,6950,21,52663,18175,ZCTA5 32508,32508
43.3,687,0,,7310,ZCTA5 32509,32509
20.8,1106,0,,15202,ZCTA5 32511,32511
36,38689,5910,43992,26340,ZCTA5 32514,32514
41.4,35457,3493,52333,25052,ZCTA5 32526,32526
,98,0,,,ZCTA5 32530,32530
41.4,5472,833,53581,27274,ZCTA5 32531,32531
41,27434,3200,56388,24970,ZCTA5 32533,32533
40,14199,2783,42513,21801,ZCTA5 32534,32534
37.8,6015,859,34107,13066,ZCTA5 32535,32535
32.6,20663,3280,56720,24551,ZCTA5 32536,32536
35.6,25243,3947,51750,21687,ZCTA5 32539,32539
40,16158,1140,62577,38204,ZCTA5 32541,32541
21.7,3245,139,35197,15541,ZCTA5 32542,32542
21.1,1717,143,35563,24765,ZCTA5 32544,32544
35,34365,6448,46377,25692,ZCTA5 32547,32547
39.6,19868,2956,47506,27368,ZCTA5 32548,32548
55.2,6092,363,58095,48446,ZCTA5 32550,32550
46,8843,612,83182,51583,ZCTA5 32561,32561
42.8,23985,2562,65583,31504,ZCTA5 32563,32563
44.2,2807,812,36173,24208,ZCTA5 32564,32564
44.1,5530,620,47431,22677,ZCTA5 32565,32565
35.7,35373,3681,65064,29432,ZCTA5 32566,32566
49.1,3285,654,40821,20679,ZCTA5 32567,32567
45.1,2981,383,51786,22369,ZCTA5 32568,32568
44.6,10869,821,51695,32825,ZCTA5 32569,32569
39.3,28021,4071,47649,22676,ZCTA5 32570,32570
38.4,30346,2744,62570,26520,ZCTA5 32571,32571
46,4487,536,52658,24473,ZCTA5 32577,32577
42.8,30428,2415,73218,34747,ZCTA5 32578,32578
45.2,10160,1058,62766,34793,ZCTA5 32579,32579
32.5,4244,213,58794,28673,ZCTA5 32580,32580
39.3,25870,4424,51898,21649,ZCTA5 32583,32583
24,19360,7936,23494,16027,ZCTA5 32601,32601
21.3,8714,2779,17857,9234,ZCTA5 32603,32603
38.9,22701,2765,65651,38542,ZCTA5 32605,32605
36.8,23244,2923,53570,29447,ZCTA5 32606,32606
