B01002_001E,B01003_001E,B17001_002E,B19013_001E,B19301_001E,NAME,zip code tabulation area
,0,0,,,ZCTA5 00950,00950
,16,16,,,ZCTA5 00951,00951
40.3,9611,4075,18768,9362,ZCTA5 00952,00952
34.8,73236,25471,28488,12741,ZCTA5 00953,00953
38.1,77151,29768,22212,10765,ZCTA5 00956,00956
37.1,46252,17574,23736,11453,ZCTA5 00957,00957
39.2,48495,15296,26264,14448,ZCTA5 00959,00959
32.8,1496,12,,8586,ZCTA5 00960,00960
41.3,32691,8712,29931,15555,ZCTA5 00961,00961
34.7,21717,11827,16128,8444,ZCTA5 00962,00962
36,8988,4980,16139,7683,ZCTA5 00965,00965
42,16371,2809,52463,34449,ZCTA5 00966,00966
56.4,3532,349,41936,36866,ZCTA5 00968,00968
39.6,42756,7142,50811,26581,ZCTA5 00969,00969
40.7,30410,11629,23241,13223,ZCTA5 00971,00971
36.3,63387,19646,30372,15048,ZCTA5 00976,00976
46.4,16248,3099,37906,26361,ZCTA5 00979,00979
42.6,16216,4965,26148,13244,ZCTA5 00982,00982
36.8,41590,12863,27125,13949,ZCTA5 00983,00983
39.7,36507,12272,25509,12127,ZCTA5 00985,00985
36.3,59324,16571,31546,14072,ZCTA5 00987,00987
43.7,17245,1537,58733,28457,ZCTA5 01001,01001
22.9,29266,7418,54422,27691,ZCTA5 01002,01002
19.9,11032,1,,3531,ZCTA5 01003,01003
42.2,5356,251,68644,31686,ZCTA5 01005,01005
41.3,14673,1220,71875,32222,ZCTA5 01007,01007
47.1,1144,53,71635,32457,ZCTA5 01008,01008
44,716,153,38644,26422,ZCTA5 01009,01009
45.4,3635,222,81196,36406,ZCTA5 01010,01010
43.6,1414,129,64891,26847,ZCTA5 01011,01011
51,577,42,58750,30189,ZCTA5 01012,01012
35.5,22113,3731,41273,20889,ZCTA5 01013,01013
43.4,30571,3163,51255,27207,ZCTA5 01020,01020
37.4,2794,551,58938,29618,ZCTA5 01022,01022
47.9,1057,84,52155,31585,ZCTA5 01026,01026
43.2,17605,1198,59963,31327,ZCTA5 01027,01027
45.5,15816,675,80469,36171,ZCTA5 01028,01028
53.1,596,57,54330,33352,ZCTA5 01029,01029
44.4,11310,1243,71228,31992,ZCTA5 01030,01030
43.1,1484,276,42404,28090,ZCTA5 01031,01031
49.1,570,21,61806,33395,ZCTA5 01032,01032
44.9,6182,222,73816,31069,ZCTA5 01033,01033
46.2,2174,129,77500,32908,ZCTA5 01034,01034
45,5254,403,73250,36471,ZCTA5 01035,01035
48.4,5129,231,81130,35699,ZCTA5 01036,01036
53.6,624,58,84444,42109,ZCTA5 01037,01037
47.7,2832,236,61603,36282,ZCTA5 01038,01038
50.2,1566,114,72188,36880,ZCTA5 01039,01039
36,40029,12298,31628,19968,ZCTA5 01040,01040
41.5,2548,210,56184,26597,ZCTA5 01050,01050
51,1909,276,64896,25039,ZCTA5 01053,01053
50.3,1759,182,73000,40416,ZCTA5 01054,01054
44.4,21247,1025,61073,31117,ZCTA5 01056,01056
45,8707,917,64747,32046,ZCTA5 01057,01057
34.2,15026,2205,52607,33655,ZCTA5 01060,01060
43.8,11007,1063,65756,39088,ZCTA5 01062,01062
20.2,644,0,,2353,ZCTA5 01063,01063
,0,0,,,ZCTA5 01066,01066
44.7,1839,84,85556,32805,ZCTA5 01068,01068
42.2,8975,677,53417,26238,ZCTA5 01069,01069
54.5,579,36,63889,30544,ZCTA5 01070,01070
44.5,1401,29,75363,33090,ZCTA5 01071,01071
47,1464,123,66705,35493,ZCTA5 01072,01072
41.2,5878,228,80000,34196,ZCTA5 01073,01073
38.1,56,0,,38243,ZCTA5 01074,01074
41.6,17796,1138,61431,30643,ZCTA5 01075,01075
43.4,9552,433,78476,35587,ZCTA5 01077,01077
46,495,40,34906,29734,ZCTA5 01079,01079
43.2,2012,363,40559,22950,ZCTA5 01080,01080
44.7,1703,94,56726,30411,ZCTA5 01081,01081
45.3,10318,1372,51717,28354,ZCTA5 01082,01082
34.1,3137,334,39521,22435,ZCTA5 01083,01083
55.5,209,12,51667,31790,ZCTA5 01084,01084
39.1,40721,3690,59881,28943,ZCTA5 01085,01085
19.6,1219,0,,1963,ZCTA5 01086,01086
63,451,110,43234,32414,ZCTA5 01088,01088
39.5,28498,3475,54126,27853,ZCTA5 01089,01089
32.9,1080,198,55370,34201,ZCTA5 01092,01092
52.5,282,21,83750,42234,ZCTA5 01093,01093
54.1,340,24,18241,25777,ZCTA5 01094,01094
48.1,14344,671,86667,38687,ZCTA5 01095,01095
44.8,2249,104,65365,33128,ZCTA5 01096,01096
22.7,83,3,42031,13883,ZCTA5 01097,01097
52.9,1081,53,69079,35343,ZCTA5 01098,01098
33,2556,1244,14133,17095,ZCTA5 01103,01103
34.7,23083,6361,32273,17307,ZCTA5 01104,01104
26.6,12360,6259,18402,12137,ZCTA5 01105,01105
45,16018,749,103472,53449,ZCTA5 01106,01106
29.5,11271,4821,21737,12440,ZCTA5 01107,01107
31.7,25755,7041,34064,18347,ZCTA5 01108,01108
26.4,31429,9412,33376,13938,ZCTA5 01109,01109
40.5,13722,1399,62283,29528,ZCTA5 01118,01118
35.1,13962,2207,46055,21261,ZCTA5 01119,01119
46.8,2468,32,78864,33573,ZCTA5 01128,01128
38,7505,1097,61435,26752,ZCTA5 01129,01129
30.6,9134,3498,30043,16169,ZCTA5 01151,01151
,0,0,,,ZCTA5 01199,01199
43.8,45887,7518,42633,26738,ZCTA5 01201,01201
43.6,8586,952,40443,24753,ZCTA5 01220,01220
45.8,805,18,75598,40683,ZCTA5 01222,01222
50.5,2346,214,54904,37301,ZCTA5 01223,01223
23.7,322,13,90223,22426,ZCTA5 01224,01224
