State,Name,B01002_001E,B01002_002E,B01002_003E,B01003_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_008E,B03001_003E,B08101_041E,B08136_003E,B08136_004E,B08136_007E,B08136_011E,B08136_012E,B08301_001E,B08301_003E,B08301_004E,B08301_010E,B08301_019E,B15003_002E,B15003_017E,B15003_018E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B16001_002E,B16001_003E,B16001_006E,B16001_009E,B16001_012E,B16001_015E,B16001_018E,B16001_021E,B16001_030E,B16001_033E,B16001_036E,B16001_039E,B16001_045E,B16001_048E,B16001_051E,B16001_054E,B16001_057E,B16001_066E,B16001_069E,B16001_072E,B16001_075E,B16001_078E,B16001_081E,B16001_084E,B16001_087E,B16001_093E,B16001_099E,B16001_105E,B16001_108E,B16001_111E,B17001A_002E,B17001B_002E,B17001C_002E,B17001D_002E,B17001E_002E,B17001G_002E,B17001I_002E,B17001_002E,B17001_003E,B17001_017E,B17012_002E,B17012_003E,B17012_009E,B17012_014E,B19013_001E,B19301_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,B25035_001E,B25058_001E,B25064_001E,B25077_001E,B25088_002E,C24010_003E,C24010_004E,C24010_005E,C24010_006E,C24010_007E,C24010_008E,C24010_009E,C24010_010E,C24010_011E,C24010_012E,C24010_013E,C24010_014E,C24010_015E,C24010_016E,C24010_017E,C24010_018E,C24010_019E,C24010_020E,C24010_021E,C24010_022E,C24010_023E,C24010_024E,C24010_025E,C24010_026E,C24010_027E,C24010_028E,C24010_029E,C24010_030E,C24010_031E,C24010_032E,C24010_033E,C24010_034E,C24010_035E,C24010_036E,C24010_037E,C24010_039E,C24010_040E,C24010_041E,C24010_042E,C24010_043E,C24010_044E,C24010_045E,C24010_046E,C24010_047E,C24010_048E,C24010_049E,C24010_050E,C24010_051E,C24010_052E,C24010_053E,C24010_054E,C24010_055E,C24010_056E,C24010_057E,C24010_058E,C24010_059E,C24010_060E,C24010_061E,C24010_062E,C24010_063E,C24010_064E,C24010_065E,C24010_066E,C24010_067E,C24010_068E,C24010_069E,C24010_070E,C24010_071E,C24010_072E,C24010_073E
01,Alabama,38.1,36.6,39.4,4799277,3326188,1262152,25278,56831,1387,72145,188294,19939,39678890,5566070,351800,212480,619260,1973623,1676660,193071,8935,23233,40711,818315,173415,236473,458393,187852,45646,30801,4261611,151384,7379,333,1672,1374,10038,18,918,1325,384,465,50,1010,2630,3236,1306,9461,1814,7475,887,208,828,935,6839,3115,96,145,4560,410,437454,382335,5907,7658,289,19394,60014,870631,377844,492787,178138,55810,15539,106789,43253,23680,2259344,2244093,2002163,241930,15251,1547090,1981,501,705,122500,1160,297672,135726,104780,30946,68603,27681,34521,6401,65373,14326,8554,30429,12064,27970,20946,7024,145312,5007,35005,17672,17333,43342,50566,11392,166615,102705,63910,200482,11495,110198,78789,239357,121176,68236,49945,354529,107197,63810,43387,21423,11400,5745,4278,131809,18021,9649,91926,12213,94100,58766,35334,190553,40748,8485,5119,3366,64606,31129,45585,327756,118617,209139,9012,1796,3796,3420,70875,49346,10960,10569
02,Alaska,33.6,33.3,33.9,720316,481638,25033,101273,39200,8013,56757,42832,18218,4169665,903450,220160,231045,699205,348457,234714,45046,5634,27584,2796,101267,22792,36351,80447,31988,7431,5068,557877,22425,2195,120,444,279,3662,0,140,4426,426,32,3,100,123,290,272,1634,1752,3937,205,3107,1105,1469,1286,14177,133,90,388,241,32121,2707,21375,4242,1276,6975,4321,69514,33395,36119,11599,3555,1776,6268,70760,32651,393037,376305,343366,32939,16732,160177,1983,978,1098,241800,1850,56933,25455,19457,5998,14492,3879,6774,3839,12447,3007,1305,5931,2204,4539,3164,1375,27574,1058,6405,3636,2769,9344,7472,3295,27001,13907,13094,40479,2916,23953,13610,31083,11383,12292,7408,65984,23690,14798,8892,4603,1165,1434,2004,24893,4268,1879,16385,2361,12798,8707,4091,32466,6857,1791,1146,645,9292,4639,9887,53083,15914,37169,1859,303,1034,522,6904,3084,2497,1323
04,Arizona,36.3,35.1,37.5,6479703,5131739,270027,286953,182953,12607,191265,1935948,71123,48854685,8455395,2475760,661540,1909110,2684408,2045890,307672,53840,57430,52419,863210,168804,350503,716734,296979,69819,48203,4416957,1230732,16511,756,7901,4401,23063,445,3043,6602,5844,8370,1385,6111,3824,8474,2380,28552,6237,10733,2055,234,2492,1397,20608,20664,83792,1499,16865,2705,788026,62580,107623,24071,2464,36796,526454,1131901,527201,604700,202622,84827,25239,92556,49774,25358,3056508,3038226,2721866,316360,18282,1983203,1988,747,896,165100,1439,472068,214868,155636,59232,115233,55128,50109,9996,100651,18424,12423,44319,25485,41316,29101,12215,254049,10038,61515,31696,29819,79195,77282,26019,281847,165959,115888,240064,12167,134076,93821,198039,80560,74584,42895,482703,171473,100934,70539,35290,19227,7873,8190,174476,28946,14804,110624,20102,101464,69266,32198,283609,50518,17841,9974,7867,89288,44973,80989,440873,155650,285223,10441,2972,3445,4024,58173,31565,15453,11155
05,Arkansas,37.5,36.2,38.8,2933369,2295446,454903,17945,37776,5697,58307,192264,16614,21186160,3352555,163960,195565,396690,1225869,1007658,135541,5460,21537,22954,561542,117797,119038,257157,93456,23201,15503,2540974,143540,4326,93,963,1050,5488,0,144,515,315,211,100,519,917,1413,628,4125,942,1591,273,1584,438,3429,4589,2901,20,94,2704,25,351946,148106,4317,4510,1829,16140,61808,547328,243806,303522,110209,40659,11416,58134,40768,22170,1372975,1366667,1245432,121235,6308,928468,1981,480,661,107300,1021,172975,86124,66720,19404,29043,13753,10957,4333,39742,9699,4033,19040,6970,18066,12839,5227,87438,3464,18935,9292,9643,28169,29667,7203,105367,65504,39863,130070,13739,68545,47786,158060,79555,46365,32140,215295,63795,39877,23918,10423,5709,1892,2822,82660,11377,4465,60052,6766,58417,37049,21368,126848,28261,4622,2235,2387,42200,20401,31364,194801,68938,125863,5426,1753,1778,1895,49152,36029,5243,7880
06,California,35.4,34.2,36.6,37659181,23467167,2255372,286397,5005635,146290,1627359,14270345,388060,308333440,55809790,40302525,5587060,10521525,16290887,11918232,1843160,841628,446899,598141,4525094,540940,1895918,4753446,1821325,565907,360357,19782598,10105424,126083,6718,62621,79572,110575,3272,22932,151685,19699,22753,191928,191138,44917,149301,45609,1058231,140575,372742,79882,76789,46434,36849,521534,764743,1401,13236,153635,41311,3274894,512495,66432,581211,22691,244100,3180437,5885417,2718365,3167052,1030055,442375,124654,463026,61094,29527,18946244,18804519,16635854,2168665,141725,10570351,1974,1119,1224,366400,2270,3092846,1365832,1001083,364749,755218,363692,301678,89848,728675,91576,105700,272439,258960,243121,173630,69491,1434173,59666,295647,175837,119810,460171,449378,169311,1621403,957399,664004,1432011,198091,767345,466575,1393980,602900,462523,328557,3039347,1127003,667265,459738,266310,121445,59945,84920,1098558,157146,106118,649792,185502,547476,390173,157303,1662675,279279,71769,42909,28860,444260,288793,578574,2435151,902994,1532157,104437,68640,17029,18768,419831,263392,60687,95752
08,Colorado,36.1,35.2,37.2,5119329,4301096,203755,49177,141719,6549,175035,1064009,61332,43931350,6899050,3568660,838200,1764675,2494794,1864959,247307,80504,76958,29018,621098,129139,276955,799431,330767,72800,51826,3976875,565058,16213,382,5767,3370,25675,135,1910,15124,5365,2531,583,4090,762,4171,1613,19020,6071,15629,2210,3008,1950,2175,20099,7293,2937,1322,9692,1650,487361,51067,11254,15096,975,28137,251799,660874,308656,352218,114936,46771,12476,55689,58433,31109,2774490,2741518,2509777,231741,32972,1249232,1981,825,939,236200,1629,505568,240389,179124,61265,137183,70329,51327,15527,95497,14274,13606,39646,27971,32499,24691,7808,190826,6983,41575,22404,19171,70059,51714,20495,240413,149122,91291,226108,10950,140898,74260,176040,68863,69324,37853,495795,186038,109376,76662,46524,23738,10769,12017,172150,25100,15916,103304,27830,91083,66234,24849,242518,44893,11073,6566,4507,79346,39567,67639,372509,133759,238750,10760,2819,4380,3561,49240,27135,13200,8905
09,Connecticut,40.2,38.7,41.5,3583561,2792554,361668,8770,141709,1304,94111,496939,19955,32069295,3564070,4430400,551605,526495,1727286,1359050,144497,80574,52155,23600,600317,78053,178597,498124,283662,70744,38390,2658925,371024,34519,14081,36571,37016,11533,353,8670,10684,37704,4160,731,1488,5647,11430,6282,27002,3391,6456,2456,9,1401,2981,7735,8539,0,2764,9271,2762,200353,74615,1609,10653,71,15185,123351,354348,156036,198312,66254,18365,6030,41859,69461,37892,1958723,1950121,1759412,190709,8602,920427,1963,880,1056,278900,2135,346113,164728,114746,49982,76467,35993,30993,9481,77744,11042,13407,34294,19001,27174,20412,6762,138743,5516,28167,16051,12116,40858,47107,17095,161983,100795,61188,126234,2611,75955,47668,129074,66520,40351,22203,372515,120026,69737,50289,27494,13163,5445,8886,147589,22976,12355,95148,17110,77406,54319,23087,175520,47776,7179,4673,2506,45822,23801,50942,262283,92206,170077,4376,1071,1539,1766,42571,28455,7744,6372
10,Delaware,38.9,37.5,40.2,908446,635474,194964,3010,30422,567,23066,76107,4846,8142700,960140,623920,102450,113845,416163,335435,37396,13288,9449,6361,172876,21001,44444,105108,50483,11201,9745,745175,57255,3520,2562,2282,696,3191,75,1288,999,1014,216,62,262,2091,1895,1746,6110,562,1598,49,0,183,42,1095,2293,0,141,1628,122,56326,35296,350,2068,12,4194,17635,103633,43839,59794,17720,5121,1925,10674,59878,29819,466696,463216,422009,41207,3480,259668,1981,828,999,235800,1605,72080,33871,24651,9220,17459,8145,5860,3454,15344,2940,2200,7138,3066,5406,3848,1558,35070,1455,7869,3951,3918,11025,11280,3441,35935,20445,15490,34765,1468,18992,14305,34735,13601,13646,7488,87538,30138,17685,12453,6537,3049,967,2521,31785,5817,3489,19896,2583,19078,12730,6348,42451,9165,2683,1889,794,14308,5401,10894,67534,22719,44815,1386,464,278,644,10515,5915,2495,2105
11,District of Columbia,33.8,33.7,34,619371,248141,310530,1990,21845,233,14467,59479,14728,2806150,518165,4509500,664775,363955,312875,106343,18603,120076,38164,4818,69105,11858,12958,97641,74657,36137,16848,490944,44457,8489,440,1759,1449,2623,7,662,1895,483,486,93,663,311,1245,261,4306,820,1290,53,54,386,53,1166,1436,0,275,1599,597,19469,80548,293,2921,0,1670,9390,109200,46804,62396,16579,2273,1723,12583,65830,45290,357458,354171,315177,38994,3287,167612,1950,1154,1242,445200,2344,91689,38298,24041,14257,18243,9398,3143,5702,32330,2466,13026,8154,8684,2818,2313,505,22311,982,4735,3495,1240,8612,5246,2736,19608,8421,11187,8820,147,6420,2253,9601,1781,5323,2497,97892,39140,21874,17266,12466,6258,849,5359,39659,5011,11092,13236,10320,6627,4827,1800,27049,4772,3562,2623,939,6481,6443,5791,34916,10503,24413,540,29,248,263,2751,1017,1453,281
12,Florida,41,39.6,42.4,19091156,14568521,3056152,58390,475905,11258,430455,4369920,178598,162457900,22076560,7719705,1512090,5628050,8094220,6436311,799439,166027,126018,183723,3400290,563937,1188081,2253937,854996,265198,141781,13070061,3640750,114756,361103,49161,87311,69475,5785,20862,35974,23937,17890,2268,9435,19530,19848,17383,59400,12041,18720,4679,1643,9870,4224,56119,60165,79,10658,42761,20002,1944996,826598,13623,59207,1490,81613,918939,3052807,1389638,1663169,550884,219116,61111,270657,46956,26236,9355809,9298664,8202636,1096028,57145,6207725,1985,838,990,160200,1530,1299850,638699,473678,165021,242410,123678,95006,23726,284756,42245,47967,111535,83009,133985,94150,39835,783303,27020,170818,101304,69514,258713,248016,78736,866041,537417,328624,713626,46651,392902,274073,573054,198379,243429,131246,1460806,509345,308650,200695,79341,42359,15785,21197,526568,68769,58714,332699,66386,345552,224215,121337,894639,190861,51193,27870,23323,281968,173918,196699,1412805,542691,870114,35961,13295,11356,11310,162551,90487,42841,29223
13,Georgia,35.6,34.2,36.8,9810417,5948977,3010984,24496,330392,4554,193170,875849,68541,87682770,13085725,4500460,788575,2207850,4210796,3342646,446243,89098,65338,81690,1511144,306208,438989,1121880,453219,121272,71463,7921115,709563,38390,17446,4846,12148,25968,551,2765,14848,3767,7444,449,9228,19656,21744,9407,42582,8474,44978,4475,3061,3186,5143,41108,12205,233,956,15343,2794,767071,768025,6532,44797,1271,39686,274593,1736680,769920,966760,335240,115498,33491,186251,49179,25182,4852644,4799681,4254879,544802,52963,2745530,1987,673,860,151300,1411,706611,351031,262159,88872,153709,81703,56485,15521,150548,25521,21039,65814,38174,51323,36774,14549,314880,9346,71926,37458,34468,100297,103081,30230,397785,246883,150902,379244,21645,208653,148946,410360,174658,139146,96556,810697,285052,168259,116793,53728,30345,9246,14137,306644,38027,22906,212265,33446,165273,104798,60475,401535,73793,26364,13723,12641,139626,63650,98102,674282,253196,421086,18788,4768,6822,7198,140697,84684,31150,24863
15,Hawaii,38.3,36.8,39.9,1376298,344488,24532,3050,526743,134733,327334,128171,22919,10955430,2663960,1928185,392665,514080,663718,441988,95287,42251,31081,10126,240803,22861,92512,186379,63311,20481,12321,960182,25491,4450,348,655,1915,4615,39,192,1169,513,187,82,476,57,410,45,31537,45633,17276,274,23,1920,2279,9418,58345,13,139,446,290,36864,2293,676,35170,28400,43972,21253,149531,67653,81878,24570,10167,2741,11662,67402,29305,728795,688820,640072,48748,39975,375739,1978,1220,1380,503100,2326,102611,45549,34093,11456,19372,8006,8385,2981,27450,4078,3381,12761,7230,10240,7701,2539,75520,2295,16157,10817,5340,26389,23062,7617,52000,28712,23288,58416,3698,34518,20200,42337,13079,20157,9101,113411,39734,24676,15058,6612,2555,1724,2333,46667,7279,3504,30662,5222,20398,14242,6156,69532,12175,3097,2289,808,24400,14420,15440,110340,44174,66166,3543,1598,961,984,12362,6026,4682,1654
16,Idaho,34.9,34.1,35.8,1583364,1455692,8957,19984,20141,2216,39459,180901,17475,10132010,1837855,309965,195560,433900,684393,531414,69908,5644,20686,10194,228031,50615,87761,172377,54722,13830,9964,1312576,114558,3268,64,660,1563,4483,20,245,1878,225,2533,34,484,99,296,30,3281,1595,1128,98,42,412,787,1049,1886,153,108,1270,16,208785,2007,5364,3742,366,9364,50032,240298,112262,128036,44581,21443,4608,18530,46767,22568,766649,763379,696190,67189,3270,435350,1982,607,728,162100,1231,117595,54556,42525,12031,27985,10479,12147,5359,24840,4252,2937,11964,5687,10214,7764,2450,50133,2416,10807,5696,5111,14927,16567,5416,62714,38554,24160,78456,14896,39336,24224,66596,28266,23317,15013,114565,36485,22393,14092,7836,3229,1853,2754,45440,7131,2916,30016,5377,24804,16341,8463,73442,16052,2981,1684,1297,24078,10262,20069,109016,35297,73719,4956,2958,945,1053,18717,10767,3966,3984
17,Illinois,36.8,35.5,38.2,12848554,9320910,1851524,27548,609923,2979,265702,2060706,95146,113760605,14898795,24787325,2232200,2732095,5893225,4337369,517869,514782,186284,95087,2006238,302748,632569,1657947,739404,180829,97616,9342837,1570809,35613,4727,40223,6699,45782,1372,33302,41404,185121,31264,2794,6628,41596,37982,42613,94966,12611,49323,3650,415,7266,3931,20907,80655,53,2928,56524,6666,940821,535979,5691,71251,363,49693,419350,1772333,791712,980621,324280,109206,34535,180539,56797,29666,6718236,6698936,5998320,700616,19300,3405883,1966,759,890,182300,1701,1035040,508044,359013,149031,224760,118389,83537,22834,226353,34001,40248,99059,53045,75883,56495,19388,454873,17244,102667,56222,46445,151675,137336,45951,566680,336410,230270,429054,15042,245594,168418,632927,288989,200284,143654,1148037,397005,229291,167714,76640,43137,13441,20062,424975,61249,35880,274674,53172,249417,175266,74151,581630,120348,31108,20901,10207,174203,84663,171308,942898,321922,620976,15904,3240,5875,6789,191277,118034,32720,40523
18,Indiana,37.1,35.8,38.4,6514861,5510618,592954,14975,107563,1852,136702,400788,40883,55716030,6778220,1300050,608255,974130,2911709,2420721,262326,30833,61534,37569,1286939,213763,334834,632094,258886,55880,40860,5588460,277381,13911,1438,3574,1878,35409,185,4391,4835,4965,7265,122,1480,4007,7225,3573,23119,5857,7588,1060,237,975,670,4951,5667,133,995,9017,1231,681565,180216,3144,21697,559,34730,116047,969881,431824,538057,184728,61835,21034,101859,48248,24635,3283407,3279355,2963879,315476,4052,1815932,1972,577,730,122800,1134,436600,209270,161232,48038,93627,36000,45847,11780,98752,18674,11091,48561,20426,34951,24965,9986,206093,7411,44474,23153,21321,69308,66718,18182,251964,151394,100570,253083,11421,136311,105351,402413,220509,97416,84488,514286,161798,96355,65443,29193,13577,7029,8587,183853,28325,12658,124094,18776,139442,90649,48793,303519,66614,11950,7663,4287,107873,45115,71967,456578,157261,299317,10038,2138,3991,3909,129305,87158,16152,25995
19,Iowa,38.1,36.7,39.4,3062553,2802839,91754,9440,55878,1389,58229,157711,22304,22700970,3237275,463790,478460,459425,1526130,1219847,140985,16483,55636,13765,584805,81566,215049,359520,112200,29132,20867,2657355,113173,5458,31,1083,668,12482,253,562,1936,522,8635,122,327,532,2628,806,9858,1142,3037,528,299,1679,4039,7499,2348,39,82,4593,268,299245,31339,2542,8129,276,15436,39693,367414,164792,202622,64234,22651,6756,34827,51843,27027,1650140,1647943,1553030,94913,2197,769962,1965,534,670,124300,1178,247757,128874,101148,27726,50952,23011,20712,7229,50705,10018,4926,25420,10341,17226,13501,3725,92703,3967,16332,8474,7858,31604,31280,9520,133544,79492,54052,139709,14819,72909,51981,193361,97194,53402,42765,280064,90418,50645,39773,17070,9014,3200,4856,104029,17068,5812,69558,11591,68547,47172,21375,166681,36699,4742,3056,1686,55468,21084,48688,237961,75713,162248,6743,2767,2090,1886,54507,37749,5234,11524
20,Kansas,36,34.7,37.4,2868107,2449273,164299,23958,70408,1887,92475,308122,19007,21015535,3000755,251010,312960,446585,1378025,1128881,131083,6521,33476,13924,429339,79313,140680,363386,143301,32858,20270,2371428,195103,4847,337,1058,1342,13095,70,351,2860,469,675,113,1485,575,2919,1203,10714,1918,3556,655,1474,663,3672,12557,3786,641,172,4607,439,287848,41174,5336,9778,247,21115,78946,382820,172264,210556,67927,24340,7138,36449,51332,26929,1509187,1491412,1387071,104341,17775,713028,1972,551,732,128400,1290,239239,121218,92614,28604,49199,22514,21264,5421,51577,9769,6862,25226,9720,17245,13108,4137,93676,4539,20266,9601,10665,30002,29882,8987,120236,71945,48291,132128,11525,72578,48025,142429,72822,39197,30410,263877,83481,49559,33922,16837,8999,3466,4372,102279,14628,6288,70556,10807,61280,41684,19596,138821,33614,5299,3109,2190,44966,18718,36224,210122,65694,144428,6069,1949,2015,2105,40474,26235,6880,7359
21,Kentucky,38.2,36.8,39.5,4361333,3835013,341576,8811,51411,2019,80523,136340,20421,33796135,4985120,757450,393505,541490,1832657,1512405,183845,20249,39557,32009,786950,202117,206790,372738,183161,47346,25428,3879829,104471,8031,465,943,771,13016,109,802,2108,535,5067,145,1021,1266,2429,1245,8260,4813,3091,1122,86,843,423,4964,2885,13,299,6715,347,644825,103132,2536,6964,368,24699,42137,796202,357797,438405,163471,61386,17773,84312,43036,23462,2076555,2059754,1857767,201987,16801,1377552,1978,506,655,120400,1123,268844,128646,98312,30334,50504,22218,23098,5188,62316,13345,8692,28050,12229,27378,19625,7753,127675,5172,28666,15097,13569,41005,40315,12517,158677,92180,66497,178150,12575,100265,65310,233154,114720,65368,53066,337128,97633,59535,38098,16051,8563,3163,4325,128369,19482,8312,89411,11164,95075,62396,32679,182665,40774,7856,4820,3036,65140,25184,43711,292908,100108,192800,7576,1926,2877,2773,70990,45763,10259,14968
22,Louisiana,36,34.7,37.3,4567968,2874235,1463345,28466,73460,2141,75179,202145,40864,39234505,5839070,1064315,419715,1288000,1963928,1612558,201276,25497,38071,38757,859082,155487,154171,433526,144867,45547,26235,3887593,150424,119931,6706,2450,3117,5412,52,540,1779,844,990,63,1454,1079,1860,2223,9471,2079,3112,334,67,506,2002,26185,4580,45,303,6739,364,339380,457726,6974,12074,601,18689,41585,846780,357539,489241,167260,41407,15215,110638,44874,24442,2203325,2187544,1995378,192166,15781,1374635,1977,610,773,138900,1201,279526,130051,99324,30727,55386,15208,31476,8702,64296,10461,12074,26922,14839,29793,22562,7231,152798,5349,39844,18267,21577,49898,42948,14759,157415,94468,62947,238504,11561,149650,77293,209297,96228,71342,41727,353682,105596,64984,40612,16214,6309,4463,5442,140266,18945,12729,95759,12833,91606,55439,36167,224419,45516,15099,8733,6366,70704,34711,58389,331882,120087,211795,8764,1647,4214,2903,39091,21832,12008,5251
23,Maine,43.2,42.1,44.3,1328320,1264047,14637,7364,14391,246,24073,17946,10102,11499355,1808565,174670,235525,250650,633153,496573,63713,3828,25297,5597,270456,49276,86337,169061,66849,16746,10964,1175657,11599,45475,123,1019,673,3417,42,710,1567,673,251,99,572,123,496,225,2521,839,873,984,0,489,96,1807,1423,17,25,1255,146,157826,6316,2381,2076,83,5791,5048,175624,78471,97153,31985,11617,3961,16407,48453,26824,703066,700965,647099,53866,2101,389783,1973,664,764,174500,1345,98526,43806,32768,11038,20273,7364,9308,3601,24672,4107,2625,12319,5621,9775,7637,2138,45945,2562,8937,4195,4742,14692,14707,5047,55017,33759,21258,67879,8712,37512,21655,59553,28259,19728,11566,128877,40574,25632,14942,7311,2937,1285,3089,50461,9633,2924,32326,5578,30531,20887,9644,72568,19245,1786,1066,720,23186,9903,18448,100952,35300,65652,2992,1191,1173,628,14790,9728,2622,2440
24,Maryland,38,36.4,39.4,5834299,3406243,1717582,17535,332620,2570,162105,493310,32958,63419265,9615445,13766920,840485,1021235,2891357,2123823,289859,256052,68435,39708,899158,117185,245871,789022,445990,114423,94483,4553640,378010,52960,11932,10135,10971,18284,1003,9848,21388,4356,2121,1634,13898,9631,16192,16765,61951,6249,38029,1974,7,3710,914,21268,32818,97,2057,14847,6092,228568,248779,2547,27447,234,20267,66547,558329,242159,316170,97433,27582,10209,59642,73538,36354,3214633,3186765,2926198,260567,27868,1431146,1975,1034,1196,292700,2037,605458,264084,188305,75779,175329,95878,51792,27659,122767,16813,25136,49912,30906,43278,31690,11588,215897,8753,64984,35174,29810,61558,58580,22022,245710,138611,107099,223349,4894,136735,81720,179965,60481,79217,40267,687176,253655,146538,107117,81325,46356,10782,24187,226124,35374,25057,135832,29861,126072,89330,36742,279058,54820,26158,16413,9745,72623,46313,79144,434187,135274,298913,8783,926,3573,4284,46615,24605,12949,9061
25,Massachusetts,39.2,37.8,40.5,6605058,5318548,454887,12956,368178,1876,180738,655863,50861,62415170,7336345,13681885,2008595,1456010,3239623,2336009,256291,302359,153847,60405,1032315,131423,348097,1006270,538224,124858,106970,4871680,502625,62941,64549,38919,181917,17515,785,23991,36549,19235,4806,8104,6453,8926,18845,6303,106715,8408,16962,21869,563,2753,3113,40302,8214,52,1518,29436,7348,455626,97161,3218,50278,265,35919,192391,725351,313020,412331,129616,36616,12506,80494,66866,35763,3636347,3631277,3308547,322730,5070,1734905,1958,936,1069,330100,2116,677839,301672,209160,92512,179148,86872,61453,30823,148279,20129,25207,67947,34996,48740,35854,12886,255692,11860,58687,33226,25461,80957,74995,29193,297417,173958,123459,220017,5086,135693,79238,222545,102742,77564,42239,764052,253540,150407,103133,73441,32609,11248,29584,276185,43889,23265,170476,38555,160886,115108,45778,317683,77137,13091,9694,3397,95291,40224,91940,473959,165814,308145,8848,2127,2999,3722,70495,45552,13574,11369
26,Michigan,39.1,37.8,40.4,9886095,7841011,1385154,54881,251175,2230,243968,447594,50028,81418550,9725375,2408980,944295,1353010,4147131,3429751,369841,56340,90643,69695,1745288,260945,564950,1049930,486283,106937,67068,8457581,270708,25011,1600,19934,4031,39503,579,7887,11819,23042,13009,2284,2644,9355,16340,11294,39273,12022,15356,1511,4887,1447,2137,15130,16903,102,2510,111944,2629,1014213,465340,13488,34891,579,65774,126507,1625982,740908,885074,302261,100220,34474,167567,48411,25681,4864014,4859417,4242948,616469,4597,3001336,1969,623,768,121700,1325,700413,308272,228527,79745,179555,66003,96144,17408,149739,25297,18906,68482,37054,62847,48350,14497,311805,14803,59308,30382,28926,107373,97989,32332,365304,221044,144260,314324,21780,159412,133132,476120,271556,116380,88184,759997,250091,147594,102497,53347,24703,15227,13417,264576,43587,17674,171539,31776,191983,128820,63163,477102,111785,17012,10912,6100,160353,62265,125687,674510,235967,438543,16606,6418,4852,5336,146767,100643,22774,23350
27,Minnesota,37.6,36.4,38.6,5347740,4575991,279944,57479,222761,2259,132033,257144,42634,46972565,6223880,3505680,754705,1095120,2700121,2107374,241348,92680,77032,34123,845745,111040,365212,781186,263953,73760,42511,4460951,192113,14925,1088,2503,2414,24277,145,1142,14039,2923,3948,32,1653,1894,6998,2660,21193,3743,6000,5732,55037,2226,9900,21640,5633,84,467,9732,1119,397261,96022,19900,38129,299,28355,62456,598391,274825,323566,101919,34008,12358,55553,59836,30913,2961476,2958989,2748174,210815,2487,1251261,1975,734,819,187900,1547,506358,247875,180519,67356,122548,62570,45786,14192,100982,17464,13632,43256,26630,34953,26999,7954,179416,9579,27767,13981,13786,60908,58386,22776,250651,152314,98337,209153,16537,113760,78856,271313,138802,81061,51450,559367,196926,111583,85343,42964,23348,7700,11916,194609,35921,15111,115495,28082,124868,82875,41993,276991,62438,9336,5709,3627,82865,34590,87762,404007,138205,265802,9886,3338,3499,3049,81032,56152,11343,13537
28,Mississippi,36.2,34.7,37.6,2976872,1769766,1106982,13030,27646,274,34508,81433,14956,23021220,3676835,209700,181130,449070,1179917,986618,126402,5323,19258,26615,471019,113819,155909,246100,98828,24512,16545,2663097,65295,4739,194,890,472,3143,45,229,467,175,97,26,174,1566,978,414,4165,778,1524,111,8,197,215,6564,2661,0,32,2140,39,241091,387028,3892,4055,117,8900,24419,653321,282258,371063,133214,36371,12549,84294,39031,20618,1355687,1343584,1194436,149148,12103,957272,1981,510,702,99900,1085,153576,73177,57974,15203,25433,7612,12664,5157,37392,8794,4603,17839,6156,17574,12561,5013,87728,2438,23141,12200,10941,24381,27948,9820,92494,54824,37670,130433,9982,73982,46469,147238,69327,48539,29372,214851,60215,37718,22497,8065,4104,1888,2073,85156,12032,5344,61516,6264,61415,38413,23002,125891,24991,7456,3371,4085,40347,19260,33837,192021,70918,121103,5286,1309,2218,1759,44918,32264,6644,6010
29,Missouri,38,36.6,39.3,6007182,4984653,691128,22781,98962,6263,139240,219705,34373,50308945,6988505,1817195,578060,946115,2738553,2231164,262599,40285,53663,30537,1078278,185861,282763,655633,282661,66028,42737,5279336,148039,14500,734,4391,2653,22909,221,1474,8678,1500,13498,187,3068,1813,3999,3456,18808,2818,6918,1095,949,1512,1058,12185,7256,65,874,9909,1203,634849,191861,5223,15173,1435,33447,57625,900929,403935,496994,171329,59377,18504,93448,47380,25649,3059214,3038261,2770617,267644,20953,1696656,1975,549,727,137000,1227,434632,210014,157795,52219,90149,46516,32221,11412,95910,18400,13071,43305,21134,38559,27411,11148,208912,8936,44117,22073,22044,72070,64925,18864,246938,149050,97888,238271,13924,132802,91545,289013,135060,90754,63199,521973,169995,98811,71184,34186,19398,5734,9054,186966,29341,14620,122181,20824,130826,83899,46927,289546,66877,12961,7658,5303,94434,39249,76025,449692,151911,297781,8941,2262,3454,3225,82699,53085,14214,15400
