State,Name,B01002_001E,B01002_002E,B01002_003E,B01003_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_008E,B03001_003E,B08101_041E,B08136_003E,B08136_004E,B08136_007E,B08136_011E,B08136_012E,B08301_001E,B08301_003E,B08301_004E,B08301_010E,B08301_019E,B15003_002E,B15003_017E,B15003_018E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B16001_002E,B16001_003E,B16001_006E,B16001_009E,B16001_012E,B16001_015E,B16001_018E,B16001_021E,B16001_030E,B16001_033E,B16001_036E,B16001_039E,B16001_045E,B16001_048E,B16001_051E,B16001_054E,B16001_057E,B16001_066E,B16001_069E,B16001_072E,B16001_075E,B16001_078E,B16001_081E,B16001_084E,B16001_087E,B16001_093E,B16001_099E,B16001_105E,B16001_108E,B16001_111E,B17001A_002E,B17001B_002E,B17001C_002E,B17001D_002E,B17001E_002E,B17001G_002E,B17001I_002E,B17001_002E,B17001_003E,B17001_017E,B17012_002E,B17012_003E,B17012_009E,B17012_014E,B19013_001E,B19301_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,B25035_001E,B25058_001E,B25064_001E,B25077_001E,B25088_002E,C24010_003E,C24010_004E,C24010_005E,C24010_006E,C24010_007E,C24010_008E,C24010_009E,C24010_010E,C24010_011E,C24010_012E,C24010_013E,C24010_014E,C24010_015E,C24010_016E,C24010_017E,C24010_018E,C24010_019E,C24010_020E,C24010_021E,C24010_022E,C24010_023E,C24010_024E,C24010_025E,C24010_026E,C24010_027E,C24010_028E,C24010_029E,C24010_030E,C24010_031E,C24010_032E,C24010_033E,C24010_034E,C24010_035E,C24010_036E,C24010_037E,C24010_039E,C24010_040E,C24010_041E,C24010_042E,C24010_043E,C24010_044E,C24010_045E,C24010_046E,C24010_047E,C24010_048E,C24010_049E,C24010_050E,C24010_051E,C24010_052E,C24010_053E,C24010_054E,C24010_055E,C24010_056E,C24010_057E,C24010_058E,C24010_059E,C24010_060E,C24010_061E,C24010_062E,C24010_063E,C24010_064E,C24010_065E,C24010_066E,C24010_067E,C24010_068E,C24010_069E,C24010_070E,C24010_071E,C24010_072E,C24010_073E
45,South Carolina,38.1,36.5,39.6,4679602,3144146,1298534,14732,61097,2128,84835,241448,31359,38467155,5036705,463385,381410,861195,1994198,1649097,188896,11605,41470,37195,797948,135284,270022,501193,205214,44061,30814,4081441,195871,11208,510,2752,3456,12662,93,2252,4307,1700,713,112,762,4093,2113,1123,9812,2824,4239,1227,1097,909,833,5693,6269,6,593,4084,697,397488,367427,3832,7071,663,20273,73276,820308,356980,463328,164487,50537,16003,97947,44779,23943,2295655,2261467,2003023,258444,34188,1425045,1985,582,768,137400,1205,291394,138181,105593,32588,64184,24993,32019,7172,64865,13731,8109,28914,14111,24164,17576,6588,161779,4475,36374,19893,16481,54092,53457,13381,176018,109837,66181,181109,8702,98837,73570,212371,112266,56021,44084,360339,113644,68001,45643,19911,9523,4837,5551,136858,20986,11110,92211,12551,89926,57586,32340,207220,41580,9796,5390,4406,72298,33131,50415,329481,125894,203587,8324,1869,2892,3563,74988,53572,10640,10776
46,South Dakota,36.9,35.6,38.3,825198,706667,11531,71766,8597,226,19197,24598,6820,5416720,887605,64835,116950,126030,414301,324365,40595,1975,17428,2855,147480,23773,54810,98423,29152,7536,5623,714184,16214,995,9,267,219,7691,18,48,885,68,676,65,17,100,253,65,1327,288,600,201,54,224,263,723,534,110,42,712,27,68224,3137,33179,1578,15,4713,6073,112086,51953,60133,18969,6596,2403,9970,49495,25740,444211,441241,418991,22250,2970,199166,1974,517,632,132400,1204,70176,39733,33843,5890,11136,4166,4457,2513,14041,3623,1502,6122,2794,5266,4285,981,28414,1097,5330,2520,2810,9969,9018,3000,35992,22067,13925,43642,6546,22660,14436,40493,19271,13493,7729,74236,23913,15126,8787,3763,1692,814,1257,26505,4605,1148,17435,3317,20055,13778,6277,45381,9814,1651,1079,572,15409,6484,12023,66730,20148,46582,2114,973,631,510,11813,8441,1289,2083
47,Tennessee,38.2,36.8,39.4,6402387,5007014,1073534,16604,95801,3110,113243,300159,30383,54842105,7415365,922870,357935,1040500,2757174,2307937,264891,21776,36768,48266,1158626,261104,272396,657028,251451,67515,47554,5601411,232394,11974,1710,2482,2317,13920,45,898,4004,1294,2490,250,2935,4454,5122,1712,13150,3845,8831,1364,208,1445,5544,10539,5921,32,512,16535,1042,722638,299039,3878,12360,573,30701,98629,1101732,489694,612038,220771,81216,22798,116757,44298,24409,3140665,3123630,2806948,316682,17035,1937768,1981,568,742,139200,1202,429652,201684,151406,50278,81293,34987,35876,10430,102994,21487,11904,42051,27552,43681,30412,13269,205437,7643,47161,24735,22426,66288,66095,18250,262143,157847,104296,246626,10594,138141,97891,317714,150641,94264,72809,510556,160981,96160,64821,28693,14607,6359,7727,186006,27500,13273,124987,20246,134876,82526,52350,271044,54662,12625,7279,5346,91256,42269,70232,453499,160955,292544,9968,1961,4125,3882,100309,68278,12542,19489
48,Texas,33.8,32.7,34.8,25639373,19075100,3030970,129219,1019260,20974,590326,9717727,206033,223283455,35056905,8216925,1926910,6214570,11445014,9141379,1268869,178917,188304,303998,3329384,741316,1041307,2850532,1030911,243470,161082,15471149,6983384,62487,6027,11386,19762,69214,231,6615,20630,8276,7897,1439,26231,30317,59602,57662,140871,15675,55794,10153,768,9871,10999,193408,72248,1021,2902,55304,5633,2991500,699918,27781,121145,3839,104445,2505875,4416829,1984244,2432585,850741,351896,75914,422931,51900,26019,12691031,12589173,11569041,1020132,101858,6777105,1983,688,851,128900,1443,1959151,936123,689544,246579,459759,209558,203267,46934,407743,62831,57870,190761,96281,155526,107714,47812,878837,35433,205755,102186,103569,287228,276337,74084,1104146,657369,446777,1233240,54024,764879,414337,1107126,493909,376517,236700,2042312,705498,411657,293841,137193,72557,33349,31287,792514,97966,63857,552975,77716,407107,263880,143227,1174188,238708,62449,31181,31268,357136,216599,299296,1774075,637135,1136940,41183,7457,16506,17220,254783,155214,54087,45482
49,Utah,29.6,29.1,30.1,2813673,2487467,31101,31696,58150,26145,66319,368552,25658,19322795,3906795,1311035,435165,731495,1259283,960764,148778,29718,33614,11477,334880,45151,150873,327448,112367,26030,21588,2187829,245947,6661,407,3064,7151,9023,3,1012,4118,937,3842,609,1310,333,1127,547,11451,4375,4614,1841,315,1137,1400,6355,4309,8193,314,2493,241,271133,8494,9707,11076,6619,11599,93436,350205,163450,186755,62038,32112,5927,23999,58821,23873,1382365,1377158,1275709,101449,5207,638774,1984,739,856,212800,1466,253193,115892,83758,32134,63652,33541,23132,6979,53817,7604,6878,25101,14234,19832,15107,4725,86898,4559,17343,9685,7658,27380,29770,7846,137175,79794,57381,114688,4597,68296,41795,118202,57094,36524,24584,210073,67656,38799,28857,15332,7504,3152,4676,88095,9780,5012,61607,11696,38990,25712,13278,113331,23127,5448,3608,1840,37927,17321,29508,202535,65950,136585,3758,779,1445,1534,35856,23787,5619,6450
50,Vermont,42,40.8,43.1,625904,595862,6139,1841,7922,145,12251,9803,5176,5297530,819000,126615,173325,114110,316127,235490,31500,3675,17968,2062,117187,16183,36977,91084,42865,9776,7141,563632,6179,9324,19,712,342,2180,71,189,672,706,1196,43,75,165,123,100,1467,288,436,4,0,142,188,1233,486,4,55,465,125,65165,1415,509,1277,0,2274,1383,70873,31978,38895,12205,4097,1349,6759,54267,29167,348495,347896,324350,23546,599,166989,1973,754,875,216800,1546,57794,25476,19738,5738,12520,4822,5558,2140,15697,2203,1639,7676,4179,4101,3105,996,24084,967,3956,1927,2029,8089,8038,3034,25105,15614,9491,31515,3438,18613,9464,26247,14025,8264,3958,71682,22358,14566,7792,4694,1974,1049,1671,29274,5076,1672,18727,3799,15356,10705,4651,32886,6222,954,553,401,9806,5101,10803,46109,15654,30455,1563,750,549,264,7365,5150,912,1303
51,Virginia,37.5,36.2,38.8,8100653,5627076,1568021,24816,457792,5633,237866,659599,57263,80201125,12366005,8176585,1036735,1714840,3919771,3033055,383680,174338,93447,60423,1159800,205778,378176,1113869,580019,130878,86267,6459988,506648,32361,5796,9830,8439,31147,250,7150,14668,3514,4552,1414,24470,8670,25121,25200,49986,10160,56184,5582,235,6539,2551,47843,43952,165,1486,40139,1353,491024,294800,3478,37249,673,30874,99542,887595,383885,503710,163615,55773,15563,92279,63907,33493,4303611,4188480,3885351,303129,115131,2150005,1980,910,1087,244600,1767,798268,369789,263384,106405,223832,133394,68867,21571,159494,23197,34135,62919,39243,45153,33225,11928,277596,9215,76491,39540,36951,87605,78850,25435,325779,189778,136001,321131,13193,191719,116219,279300,119959,101979,57362,843744,308309,178041,130268,82122,53677,12410,16035,297821,42533,30129,186993,38166,155492,101535,53957,368173,69430,23817,14853,8964,113029,61636,100261,569175,204953,364222,14599,2778,6901,4920,87586,51668,21140,14778
53,Washington,37.3,36.2,38.4,6819579,5350938,245041,94194,498941,40695,324471,783693,65372,54430700,9794050,8170535,1349035,2158975,3126887,2271702,330814,182046,109051,49296,898659,178852,435658,932008,370861,92112,63021,5195196,521751,22927,767,6624,5289,32474,198,3015,56537,4818,5259,1170,8599,2552,15528,3398,81650,25418,48065,17187,2116,5368,7566,60094,54878,335,1410,12482,2336,609656,58479,24001,59658,6573,53263,207765,893211,410494,482717,152929,60391,16847,75691,59478,30742,3526776,3476885,3149730,327155,49891,1889360,1979,853,973,262100,1795,616163,268259,199991,68268,183532,96495,68938,18099,117424,20807,15689,47719,33209,46948,34979,11969,224976,10687,48528,28685,19843,72547,66942,26272,276835,168232,108603,277183,38575,140719,97889,276650,121869,92178,62603,599756,218579,132947,85632,57388,28679,13411,15298,204875,32675,19412,122333,30455,118914,83346,35568,325848,61571,12595,8097,4498,100074,43919,107689,453962,157694,296268,23289,12328,5904,5057,75068,39716,18082,17270
54,West Virginia,41.5,40.3,42.7,1853619,1737996,58489,2955,12806,666,35968,23285,7184,15128765,2491555,271055,215155,165070,738386,605879,76339,5810,20859,10965,443556,84691,81983,146020,64710,16721,10046,1707752,18308,3145,8,1380,389,2891,0,405,760,369,218,0,356,297,366,421,2469,605,906,16,0,469,61,870,1087,11,179,1867,158,290197,16153,974,2431,112,10722,4692,321546,143277,178269,63042,25735,6719,30588,41043,22966,826225,824983,755632,69351,1242,686163,1973,448,611,98500,965,103860,43836,32691,11145,21881,8539,9417,3925,25859,4984,4432,11723,4720,12284,8819,3465,56898,2278,14099,7433,6666,16273,17729,6519,63165,36818,26347,90981,2971,57853,30157,83770,34590,30726,18454,132442,34526,20711,13815,6641,3201,1006,2434,51190,7768,4751,34822,3849,40085,25005,15080,84188,20030,3088,1778,1310,27158,11658,22254,122975,44446,78529,2341,335,939,1067,15012,8778,3042,3192
55,Wisconsin,38.7,37.6,39.8,5706871,4966900,355873,49343,132609,1305,115553,345866,46898,48127845,6135390,1984220,868735,1015485,2792190,2239971,246658,51484,92656,30911,1121823,135022,367424,679310,250094,58613,38711,4893195,243560,12509,254,4940,1347,36443,178,2372,5758,6894,4915,257,870,1521,4831,3188,14822,1937,4467,822,40985,859,4733,3688,4866,113,544,6324,1077,505534,128114,13400,23484,243,29033,91814,723730,325936,397794,128599,41129,15654,71816,52413,27523,3082381,3079100,2839636,239464,3281,1455496,1971,636,759,167100,1445,444735,217131,163574,53557,102868,44831,44611,13426,91267,14959,9656,45093,21559,33469,25505,7964,185431,7398,37859,18366,19493,64131,58890,17153,237361,141658,95703,229454,23227,116737,89490,362840,205812,85890,71138,519243,174887,101425,73462,35793,18454,6894,10445,181212,29099,10457,119625,22031,127351,85458,41893,296748,75125,11545,6511,5034,98091,36969,75018,438907,141857,297050,13319,6045,3550,3724,111598,78282,11604,21712
56,Wyoming,36.8,36,37.8,570134,518388,5167,13268,4782,197,15841,52454,5978,,,,,,286750,219680,32012,4827,10821,1169,92636,20209,38209,62047,21918,4776,4167,494556,25529,1014,3,256,507,1633,0,267,344,106,41,0,126,42,29,84,735,231,343,0,30,161,2,160,624,162,76,116,29,53355,1099,3470,818,33,2903,10142,63743,28711,35032,11363,4372,963,6028,57406,28902,309519,306583,289823,16760,2936,138776,1977,647,764,185900,1352,44627,22829,18976,3853,8552,1953,4249,2350,10257,1833,1105,5767,1552,2989,2367,622,19568,530,4703,2354,2349,6244,6296,1795,19552,11795,7757,43691,2228,26882,14581,30596,11680,12250,6666,49290,16149,10845,5304,2466,719,683,1064,21028,2853,1651,14570,1954,9647,6538,3109,31414,5614,1361,754,607,10529,6602,7308,43224,13722,29502,2265,822,1106,337,5596,2270,2125,1201
72,Puerto Rico,37.5,35.7,39.2,3682966,2575834,284860,10471,12120,61,434256,3643237,21827,24644590,3371225,1410425,446325,572315,1057020,843815,101516,28873,37377,71327,566645,74604,217542,409750,103812,30030,19486,171709,3291956,1014,43,388,506,389,0,55,71,43,0,0,14,0,111,12,1263,122,69,0,0,0,0,100,71,0,0,348,90,1115591,128277,5282,5784,33,208879,1628863,1644128,754650,889478,366608,152487,39522,174599,19624,11068,1348444,1346962,1099138,247824,1482,1576936,1977,351,454,121200,897,140774,62884,40593,22291,22463,7735,11310,3418,38156,4900,6192,17844,9220,17271,12225,5046,127655,2802,46891,26995,19896,27365,40012,10585,116379,64018,52361,104488,8031,54599,41858,91018,40928,30396,19694,199330,61269,30945,30324,10360,3012,2724,4624,83376,11738,4882,62008,4748,44325,30936,13389,98314,12984,12573,7156,5417,30369,22029,20359,188530,71948,116582,3327,1078,1127,1122,29323,25347,1844,2132
