Reg	St	Site Name                                                                		Site ID	EPA ID	Address	City	Zip	County			FF?	Latitude	Longitude	Final Date
?01?	MA	NYANZA CHEMICAL WASTE DUMP		?0100948?	MAD990685422	MEGUNKO RD 	ASHLAND	01721	MIDDLESEX			N	?+42.258610?	?-071.473610? 	9/8/1983
?01?	MA	OLIN CHEMICAL		?0100438?	MAD001403104	51 EAMES ST 	WILMINGTON	01887	MIDDLESEX			N	?+42.528056?	?-071.153889? 	4/19/2006
?01?	MA	OTIS AIR NATIONAL GUARD BASE/CAMP EDWARDS		?0100960?	MA2570024487	OTIS AFB HERBERT RD 	FALMOUTH	02542	BARNSTABLE			Y	?+41.651660?	?-070.521380? 	11/21/1989
?01?	MA	PSC RESOURCES		?0100747?	MAD980731483	10 WATER ST 	PALMER	01069	HAMPDEN			N	?+42.153330?	?-072.330280? 	9/8/1983
?01?	MA	"RE-SOLVE, INC."		?0100682?	MAD980520621	N HIXVILLE RD 	DARTMOUTH	02747	BRISTOL			N	?+41.688060?	?-071.033880? 	9/8/1983
?01?	MA	ROSE DISPOSAL PIT		?0100721?	MAD980524169	BALANCE ROCK RD 	LANESBORO	01237	BERKSHIRE			N	?+42.505500?	?-073.274800? 	6/10/1986
?01?	MA	SHPACK LANDFILL		?0100655?	MAD980503973	UNION RD 	NORTON/ATTLEBORO	02703	BRISTOL			N	?+41.943330?	?-071.235000? 	6/10/1986
?01?	MA	SILRESIM CHEMICAL CORP.		?0100326?	MAD000192393	86 TANNER ST 	LOWELL	01853	MIDDLESEX			N	?+42.628880?	?-071.313880? 	9/8/1983
?01?	MA	SOUTH WEYMOUTH NAVAL AIR STATION		?0101826?	MA2170022022	1134 MAIN STREET 	WEYMOUTH	02190	NORFOLK			Y	?+42.155270?	?-070.933470? 	5/31/1994
?01?	MA	SULLIVAN'S LEDGE		?0100744?	MAD980731343	HATHAWAY RD 	NEW BEDFORD	02740	BRISTOL			N	?+41.654710?	?-070.957210? 	9/21/1984
?01?	MA	SUTTON BROOK DISPOSAL AREA		?0100686?	MAD980520696	OFF OF SOUTH STREET 	TEWKSBURY	01876	MIDDLESEX			N	?+42.598220?	?-071.183190? 	6/14/2001
?01?	MA	"W.R. GRACE & CO., INC. (ACTON PLANT)"		?0100350?	MAD001002252	50 INDEPENDENCE RD 	ACTON	01720	MIDDLESEX			N	?+42.450550?	?-071.427780? 	9/8/1983
?01?	MA	WALTON & LONSBURY INC.		?0100432?	MAD001197755	78 NORTH AVENUE 	ATTLEBORO	02703	BRISTOL			N	?+41.957501?	?-071.296946? 	5/24/2013
?01?	MA	WELLS G&H		?0100749?	MAD980732168	ABERJONA RIVER VALLEY 	WOBURN	01801	MIDDLESEX			N	?+42.494710?	?-071.130830? 	9/8/1983
?01?	ME	BRUNSWICK NAVAL AIR STATION		?0101073?	ME8170022018	RTE 24 AND 123 	BRUNSWICK	04011	CUMBERLAND			Y	?+43.906340?	?-69.933980? 	7/22/1987
?01?	ME	CALLAHAN MINING CORP		?0101028?	MED980524128	HARBORSIDE 	BROOKSVILLE (CAPE ROSIER)	04617	HANCOCK			N	?+44.351630?	?-068.810130? 	9/5/2002
?01?	ME	EASTERN SURPLUS		?0101054?	MED981073711	ROUTE 191 	MEDDYBEMPS	04657	WASHINGTON			N	?+45.038880?	?-067.358330? 	6/17/1996
?01?	ME	EASTLAND WOOLEN MILL		?0101043?	MED980915474	MAIN STREET 	CORINNA	04928	PENOBSCOT			N	?+44.921660?	?-069.261110? 	7/22/1999
?01?	ME	KEDDY MILL		?0106078?	MEN000106078	7 DEPOT STREET 	WINDHAM	04062	CUMBERLAND			N	?+43.734950?	?-70.424510? 	5/12/2014
?01?	ME	LEEDS METAL		?0103584?	MEN000103584	OFF OF BLUE ROCK ROAD 	LEEDS	04263	ANDROSCOGGIN			N	?+44.237223?	?-070.081391? 	9/18/2012
?01?	ME	LORING AIR FORCE BASE		?0101074?	ME9570024522	42 CSG/CC 	LIMESTONE	04751	AROOSTOOK			Y	?+46.944440?	?-067.883880? 	2/21/1990
?01?	ME	MCKIN CO.		?0101027?	MED980524078	MAYALL RD 	GRAY	04039	CUMBERLAND			N	?+43.884100?	?-070.294200? 	9/8/1983
?01?	ME	PORTSMOUTH NAVAL SHIPYARD		?0101072?	ME7170022019	SEAVEY ISLAND 	KITTERY	03904	YORK			Y	?+43.084160?	?-070.741660? 	5/31/1994
?01?	ME	SACO MUNICIPAL LANDFILL		?0101010?	MED980504393	FOSS RD 	SACO	04072	YORK			N	?+43.530200?	?-070.481500? 	2/21/1990
?01?	ME	"UNION CHEMICAL CO., INC."		?0100989?	MED042143883	RTE 17 	SOUTH HOPE	04862	KNOX			N	?+44.214440?	?-069.189020? 	10/4/1989
?01?	ME	WEST SITE/HOWS CORNERS		?0101800?	MED985466168	CAMBELL/SAWYER ROAD 	PLYMOUTH	04969	PENOBSCOT			N	?+44.740270?	?-069.182220? 	9/29/1995
?01?	ME	WINTHROP LANDFILL		?0101012?	MED980504435	ANNABESSACOOK RD 	WINTHROP	04364	KENNEBEC			N	?+44.275830?	?-069.988330? 	9/8/1983
?01?	NH	AUBURN ROAD LANDFILL		?0101137?	NHD980524086	AUBURN RD 	LONDONDERRY	03053	ROCKINGHAM			N	?+42.930200?	?-071.352900? 	9/8/1983
?01?	NH	BEEDE WASTE OIL		?0102723?	NHD018958140	7 THROUGH 11 KELLEY ROAD 	PLAISTOW	03865	ROCKINGHAM			N	?+42.855070?	?-071.105880? 	12/23/1996
?01?	NH	CHLOR-ALKALI FACILITY (FORMER)		?0103313?	NHN000103313	ADJACENT TO SAW MILL DAM 	BERLIN	03570	COOS			N	?+44.479190?	?-071.167190? 	9/14/2005
?01?	NH	COAKLEY LANDFILL		?0101107?	NHD064424153	480 BREAKFAST HILL RD 	NORTH HAMPTON	03840	ROCKINGHAM			N	?+43.001110?	?-070.817210? 	6/10/1986
?01?	NH	COLLINS & AIKMAN PLANT (FORMER)		?0105928?	NHN000105928	Off Route 11 between Paulson Road to the NW  and Meetinghouse Hill Road to the SE	FARMINGTON	03835	STRAFFORD			N	?+43.371945?	?-071.058613? 	12/12/2013
?01?	NH	DOVER MUNICIPAL LANDFILL		?0101125?	NHD980520191	TOLEND RD 	DOVER	03820	STRAFFORD			N	?+43.212500?	?-070.953000? 	9/8/1983
?01?	NH	FLETCHER'S PAINT WORKS & STORAGE		?0101085?	NHD001079649	21 ELM ST. 	MILFORD	03055	HILLSBOROUGH			N	?+42.835800?	?-071.655400? 	3/31/1989
?01?	NH	KEARSARGE METALLURGICAL CORP.		?0101105?	NHD062002001	MILL ST-RTE 113 	CONWAY	03818	CARROLL			N	?+43.972100?	?-071.129300? 	9/21/1984
?01?	NH	KEEFE ENVIRONMENTAL SERVICES (KES)		?0101114?	NHD092059112	EXETER RD 	EPPING	03042	ROCKINGHAM			N	?+43.024160?	?-071.033330? 	9/8/1983
?01?	NH	MOTTOLO PIG FARM		?0101123?	NHD980503361	BLUEBERRY HILL RD 	RAYMOND	03077	ROCKINGHAM			N	?+42.989580?	?-071.173180? 	7/22/1987
?01?	NH	NEW HAMPSHIRE PLATING CO.		?0101092?	NHD001091453	WRIGHT AVE. 	MERRIMACK	03054	HILLSBOROUGH			N	?+42.855830?	?-071.488880? 	10/14/1992
?01?	NH	OTTATI & GOSS/KINGSTON STEEL DRUM		?0101210?	NHD990717647	HAVERHILL RD RTE 125 	KINGSTON	03848	ROCKINGHAM			N	?+42.897210?	?-071.080560? 	9/8/1983
?01?	NH	PEASE AIR FORCE BASE		?0101213?	NH7570024847	509 CSG/CC 	PORTSMOUTH/NEWINGTON	03803	ROCKINGHAM			Y	?+43.080160?	?-070.821250? 	2/21/1990
?01?	NH	SAVAGE MUNICIPAL WATER SUPPLY		?0101145?	NHD980671002	NEAR RT 101 	MILFORD	03055	HILLSBOROUGH			N	?+42.841800?	?-071.688400? 	9/21/1984
?01?	NH	SOMERSWORTH SANITARY LANDFILL		?0101128?	NHD980520225	BLACKWATER RD 	SOMERSWORTH	03878	STRAFFORD			N	?+43.248900?	?-070.884500? 	9/8/1983
?01?	NH	SOUTH MUNICIPAL WATER SUPPLY WELL		?0101146?	NHD980671069	RT. 202 	PETERBOROUGH	03458	HILLSBOROUGH			N	?+42.8502?	?-071.9654? 	9/21/1984
?01?	NH	SYLVESTER		?0101115?	NHD099363541	GILSON RD 	NASHUA	03062	HILLSBOROUGH			N	?+42.719700?	?-071.523110? 	9/8/1983
?01?	NH	TIBBETTS ROAD		?0101208?	NHD989090469	TIBBETTS RD. 	BARRINGTON	03825	STRAFFORD			N	?+43.180000?	?-071.034700? 	6/10/1986
